Date,Total Load [MW],Forecast Total Load [MW],Bidding Zone
31/12/2021 23:45:00,"24443,00","24488,00",Italy
31/12/2021 23:30:00,"24854,00","24715,00",Italy
31/12/2021 23:15:00,"25215,00","24980,00",Italy
31/12/2021 23:00:00,"25536,00","25307,00",Italy
31/12/2021 22:45:00,"25848,00","25621,00",Italy
31/12/2021 22:30:00,"26235,00","26025,00",Italy
31/12/2021 22:15:00,"26652,00","26435,00",Italy
31/12/2021 22:00:00,"27142,00","26835,00",Italy
31/12/2021 21:45:00,"27575,00","27272,00",Italy
31/12/2021 21:30:00,"28079,00","27852,00",Italy
31/12/2021 21:15:00,"28607,00","28546,00",Italy
31/12/2021 21:00:00,"29249,00","29359,00",Italy
31/12/2021 20:45:00,"30003,00","30214,00",Italy
31/12/2021 20:30:00,"30849,00","31063,00",Italy
31/12/2021 20:15:00,"31751,00","31845,00",Italy
31/12/2021 20:00:00,"32572,00","32486,00",Italy
31/12/2021 19:45:00,"33673,00","32890,00",Italy
31/12/2021 19:30:00,"34170,00","33346,00",Italy
31/12/2021 19:15:00,"34563,00","33662,00",Italy
31/12/2021 19:00:00,"34747,00","33837,00",Italy
31/12/2021 18:45:00,"34895,00","33919,00",Italy
31/12/2021 18:30:00,"34947,00","33989,00",Italy
31/12/2021 18:15:00,"35021,00","34059,00",Italy
31/12/2021 18:00:00,"35043,00","34026,00",Italy
31/12/2021 17:45:00,"35033,00","33861,00",Italy
31/12/2021 17:30:00,"34837,00","33440,00",Italy
31/12/2021 17:15:00,"34450,00","32767,00",Italy
31/12/2021 17:00:00,"33659,00","31954,00",Italy
31/12/2021 16:45:00,"32081,00","31178,00",Italy
31/12/2021 16:30:00,"30877,00","30373,00",Italy
31/12/2021 16:15:00,"30345,00","29844,00",Italy
31/12/2021 16:00:00,"29974,00","29515,00",Italy
31/12/2021 15:45:00,"29600,00","29485,00",Italy
31/12/2021 15:30:00,"29385,00","29446,00",Italy
31/12/2021 15:15:00,"29129,00","29420,00",Italy
31/12/2021 15:00:00,"29036,00","29444,00",Italy
31/12/2021 14:45:00,"28789,00","29512,00",Italy
31/12/2021 14:30:00,"28862,00","29651,00",Italy
31/12/2021 14:15:00,"28922,00","29766,00",Italy
31/12/2021 14:00:00,"28859,00","29839,00",Italy
31/12/2021 13:45:00,"28834,00","29947,00",Italy
31/12/2021 13:30:00,"28903,00","30058,00",Italy
31/12/2021 13:15:00,"28997,00","30220,00",Italy
31/12/2021 13:00:00,"29335,00","30468,00",Italy
31/12/2021 12:45:00,"29574,00","30716,00",Italy
31/12/2021 12:30:00,"29917,00","30985,00",Italy
31/12/2021 12:15:00,"29986,00","31188,00",Italy
31/12/2021 12:00:00,"30103,00","31345,00",Italy
31/12/2021 11:45:00,"30272,00","31522,00",Italy
